relative_time,AccX,AccY,AccZ
0,-3.490816354751587,-5.075809955596924,6.98642110824585
40,-2.5522704124450684,-6.232232570648193,8.439730644226074
80,-2.588184118270874,-5.516351699829102,
81,,,5.813238620758057
121,-4.19472599029541,-5.640852928161621,6.780515670776367
161,-5.707891941070557,-7.647233963012695,8.937734603881836
202,-5.693526268005371,-8.523530006408691,9.763751029968262
244,-4.822019100189209,-10.180350303649902,7.4532999992370605
284,-8.114112854003906,-6.967267036437988,5.327206134796143
325,-9.002379417419434,,
326,,-3.658413887023926,5.422976016998291
363,-9.040687561035156,,
364,,-3.5626437664031982,5.473255157470703
405,-8.906609535217285,-2.837186098098755,5.434947490692139
447,-7.154018878936768,-2.7893011569976807,5.358331203460693
487,-6.351944923400879,-1.2809237241744995,5.442130088806152
526,-6.074212074279785,-1.1875479221343994,6.16279935836792
567,-8.427759170532227,-0.43814772367477417,7.271337032318115
607,-8.367903709411621,,
608,,-0.38307997584342957,7.307250499725342
648,-7.441328525543213,-0.25618472695350647,7.343164443969727
688,-6.586581230163574,-0.2633674740791321,7.314433574676514
731,-5.729440212249756,-0.30646398663520813,7.302462100982666
769,-5.7054972648620605,-0.25857898592948914,7.3192219734191895
814,-5.688737869262695,-0.14604924619197845,7.386260986328125
850,-5.671977996826172,-0.031125249341130257,7.4796366691589355
891,-5.698314666748047,0.004788499791175127,7.467665195465088
931,-5.808450222015381,,
932,,0.047884996980428696,7.484425067901611
971,-5.913797378540039,,
972,,0.09337574243545532,7.51555061340332
1012,-6.004778861999512,0.1436549872159958,
1013,,,7.52752161026001
1053,-6.081394672393799,0.25857898592948914,7.573012351989746
1093,-6.15322208404541,,
1094,,0.323223739862442,7.5059733390808105
1134,-7.134864807128906,0.3423777222633362,7.417386054992676
1175,-7.968063831329346,0.23224224150180817,5.8730950355529785
1215,-8.037496566772461,,
1216,,-0.5961682200431824,5.803661823272705
1256,-8.066227912902832,-0.5722257494926453,5.796479225158691
1296,-7.328798770904541,-0.4740614891052246,5.832392692565918
1338,-7.417386054992676,-0.4764557182788849,5.8467583656311035
1378,-7.357530117034912,-0.4908212423324585,5.8156328201293945
1418,-6.483628749847412,,
1419,,0.3663202226161957,5.8730950355529785
1459,-9.469258308410645,,
1460,,-0.7948909401893616,4.249793529510498
1499,-9.502778053283691,-0.9289689660072327,4.13247537612915
1540,-9.452498435974121,-0.9696711897850037,4.177966117858887
1581,-8.683944702148438,-1.0534698963165283,4.204302787780762
1621,-8.784502983093262,-3.8858675956726074,4.256976127624512
1662,-8.865907669067383,-4.939337730407715,4.271341800689697
1702,-8.839570999145508,-4.15402364730835,4.312044143676758
1742,-8.789291381835938,-4.070224761962891,4.355140686035156
1783,-8.739011764526367,-3.979243278503418,4.42457389831543
1823,-8.688733100891113,-3.9122042655944824,4.47724723815918
1864,-8.636059761047363,-3.8307998180389404,4.503583908081055
1905,-8.588174819946289,,
