relative_time,AccX,AccY,AccZ
0,-9.871492385864258,-5.231436252593994,0.6272934675216675
44,-8.913792610168457,,
45,,-5.243407249450684,0.6656014919281006
81,-8.861119270324707,-5.229041576385498,0.6847554445266724
121,-8.042284965515137,-5.1931281089782715,1.4389442205429077
162,-7.965669631958008,-5.260167121887207,1.429367184638977
202,-7.898630619049072,-7.577800750732422,1.3766937255859375
245,-7.075008392333984,-9.502778053283691,1.3048661947250366
282,-6.337579250335693,-9.562634468078613,
283,,,0.5075809955596924
322,-6.344762325286865,,
323,,-9.531508445739746,0.4908212423324585
362,-6.323214054107666,-9.476441383361816,0.466878741979599
403,-6.275329113006592,-9.423768043518066,0.4525132179260254
445,-5.154819965362549,-8.399028778076172,0.4261764883995056
483,-5.097358226776123,-7.331192970275879,0.4285707175731659
528,-4.347957611083984,-6.502782821655273,0.42378222942352295
564,-4.328804016113281,-7.2617597579956055,0.39983972907066345
604,-4.338380813598633,-8.959282875061035,0.37589722871780396
646,-4.367111682891846,-9.830790519714355,0.3423777222633362
685,-4.3766889572143555,-9.794876098632812,0.275338739156723
728,-4.288101673126221,-8.971254348754883,0.2130882441997528
765,-3.189140796661377,-8.248190879821777,-0.5171579718589783
806,-3.1412558555603027,-9.323208808898926,-0.5674372315406799
846,-5.037501811981201,-12.567418098449707,-0.5794084668159485
886,-4.043888092041016,-12.58657169342041,
887,,,-0.5961682200431824
928,-3.9864261150360107,,
929,,-11.818017959594727,-0.5746199488639832
968,-3.9361467361450195,-10.879471778869629,-0.5387062430381775
1012,-3.895444631576538,-10.06542682647705,-0.5339177250862122
1049,-3.8260114192962646,-10.01514720916748,-0.5746199488639832
1088,-3.7685494422912598,-9.995993614196777,-0.591379702091217
1128,-2.947321653366089,-9.96247386932373,
1129,,,-0.5770142078399658
1169,-2.9257733821868896,-9.905012130737305,-0.5267349481582642
1212,-2.9257733821868896,-9.864309310913086,0.24181923270225525
1249,-2.9784469604492188,-9.809242248535156,0.24900199472904205
1289,-3.0143606662750244,-8.748589515686035,
1290,,,0.31364673376083374
1329,-3.0335144996643066,-7.980034828186035,0.3160409927368164
1370,-3.1197075843811035,,
1372,,-8.030314445495605,0.3160409927368164
1410,-3.1197075843811035,-7.936938285827637,0.30406972765922546
1451,-4.4556989669799805,-7.9201788902282715,0.33519497513771057
1492,-5.521140098571777,-8.758166313171387,1.5131659507751465
1531,-5.561842441558838,,
1532,,-10.2665433883667,1.596964716911316
