relative_time,AccX,AccY,AccZ
0,-5.442130088806152,-10.326399803161621,-0.35195472836494446
39,-5.437341690063477,,
40,,-7.867505073547363,-0.2992812395095825
80,-4.249793529510498,-5.50677490234375,-1.0798066854476929
121,-3.486027956008911,-5.501986026763916,-1.1085376739501953
160,-4.245005130767822,-8.736618041992188,
161,,,-2.4349522590637207
200,-4.285707473754883,-11.43014907836914,-2.4421348571777344
240,-2.648040294647217,-11.413389205932617,-2.3894612789154053
281,-2.640857696533203,-11.473245620727539,-2.3918557167053223
321,-1.798081636428833,-11.478034019470215,-2.341576337814331
361,-1.7813218832015991,-11.466062545776367,-1.460492491722107
404,-1.7645621299743652,-11.456485748291016,-1.431761384010315
441,-1.7597737312316895,-11.427754402160645,-1.40542471408844
481,-1.7669564485549927,-11.37986946105957,-1.364722490310669
521,-1.798081636428833,-11.37986946105957,-0.466878741979599
561,-2.6624059677124023,-11.37986946105957,-0.41659948229789734
602,-2.7126851081848145,-11.439725875854492,0.47166723012924194
641,-3.866713523864746,,
642,,-12.416580200195312,0.5195522308349609
682,-3.9074158668518066,-12.459676742553711,0.5243407487869263
722,-4.663998603820801,,
723,,-12.488407135009766,0.5171579718589783
762,-4.623296737670898,-12.440522193908691,0.5554659962654114
802,-3.730241298675537,-11.241003036499023,0.5961682200431824
842,-3.711087226867676,-10.31682300567627,1.364722490310669
883,-3.684750556945801,-9.404613494873047,1.388664960861206
923,-3.6464426517486572,-8.525923728942871,1.429367184638977
962,-2.9353504180908203,-7.704696178436279,2.157219171524048
1003,-2.9257733821868896,-7.632868766784668,2.1931328773498535
1043,-2.9784469604492188,-7.687936305999756,2.1141226291656494
1085,-3.9074158668518066,-7.74539852142334,2.094968557357788
1123,-3.9122042655944824,-8.56902027130127,1.1875479221343994
1163,-3.9600894451141357,-9.411796569824219,1.1396629810333252
1205,-3.9983973503112793,-9.469258308410645,0.4261764883995056
1244,-4.003185749053955,-9.507566452026367,0.4213879704475403
1285,-4.000791549682617,-9.536297798156738,0.4118109941482544
1324,-3.9864261150360107,-9.536297798156738,0.3878684937953949
1364,-3.9720606803894043,-9.500383377075195,0.34477198123931885
1404,-3.9720606803894043,,
1405,,-9.464469909667969,-0.3735029697418213
1444,-3.9576950073242188,-9.435738563537598,-0.371108740568161
1488,-3.9409353733062744,,
1489,,-9.42137336730957,-0.35913747549057007
1525,-3.921781301498413,,
1526,,-9.418978691101074,-0.3423777222633362
1565,-3.9337525367736816,-9.447710037231445,-0.3184352219104767
1604,-3.9648778438568115,-10.165985107421875,
1605,,,-0.2920984923839569
1645,-3.9960031509399414,-10.898625373840332,-0.2609732449054718
1685,-4.007974147796631,-11.638448715209961,
1686,,,0.591379702091217
1724,-3.9960031509399414,,
1725,,-11.693516731262207,0.6296877264976501
1765,-3.9648778438568115,-12.466858863830566,
1766,,,0.6416589617729187
1805,-3.9313583374023438,-12.471647262573242,0.6153222322463989
1845,-3.984031915664673,-12.464465141296387,
1846,,,0.5937739610671997
1888,-4.0199456214904785,-12.421368598937988,0.5650429725646973
1926,-4.027128219604492,-11.384657859802246,0.5315234661102295
1965,-4.005579948425293,-10.50357437133789,0.509975254535675
2005,-3.984031915664673,-9.536297798156738,0.5051867365837097
2046,-3.9576950073242188,-8.535500526428223,0.4980039894580841
2086,-3.9313583374023438,-7.795677661895752,
2087,,,0.5123694539070129
2126,-3.921781301498413,,
2127,,-7.73582124710083,0.5530717372894287
2166,-3.9122042655944824,-6.660803318023682,
2167,,,1.3862706422805786
2206,-3.8930504322052,-6.6368608474731445,1.4509154558181763
2247,-3.9026272296905518,-7.5059733390808105,1.4221844673156738
2288,-3.9313583374023438,-7.570618152618408,1.3862706422805786
2327,-3.924175500869751,-8.312835693359375,1.3527511358261108
2369,-3.94572377204895,,
