relative_time,AccX,AccY,AccZ
0,,,7.9129958152771
1,-6.071817874908447,-0.974459707736969,
41,-6.0885772705078125,-0.9984021782875061,7.908207416534424
80,-6.107731342315674,,7.898630619049072
81,,-1.01995050907135,
121,-6.107731342315674,-1.0247389078140259,7.874687671661377
161,-6.122097015380859,-1.0319217443466187,7.874687671661377
201,,,7.86032247543335
202,-6.126885414123535,-1.0391044616699219,
241,-6.107731342315674,,7.833985805511475
242,,-1.046287178993225,
287,-6.102942943572998,-1.063046932220459,7.826802730560303
322,-6.102942943572998,-1.0798066854476929,7.8363800048828125
361,-6.10054874420166,-1.0941722393035889,7.845956802368164
401,-6.098154544830322,,7.865110874176025
402,,-1.10374915599823,
442,-6.105337142944336,-1.1205089092254639,7.877082347869873
483,-6.114914417266846,-1.1396629810333252,7.893841743469238
521,-6.107731342315674,-1.1516342163085938,7.879476547241211
562,-6.114914417266846,-1.1612112522125244,7.886659145355225
602,-6.129279613494873,-1.1683939695358276,7.898630619049072
643,-6.122097015380859,-1.1755766868591309,7.905813217163086
686,-6.10054874420166,-1.173182487487793,7.893841743469238
723,-6.095760345458984,-1.182759404182434,7.893841743469238
763,-6.090971946716309,-1.1851537227630615,7.90102481842041
802,,,7.877082347869873
803,-6.0622406005859375,-1.182759404182434,
843,-6.04787540435791,,7.865110874176025
844,,-1.1899422407150269,
886,-6.0382981300354,-1.2019134759902954,7.869899272918701
923,-6.016749858856201,-1.213884711265564,7.8627166748046875
963,,,7.853139877319336
964,-6.002384662628174,-1.2234617471694946,
1003,-6.0095672607421875,-1.2282501459121704,7.874687671661377
1044,-6.00717306137085,-1.2330386638641357,7.872293472290039
1086,,,7.86032247543335
1087,-5.992807388305664,-1.237827181816101,
1124,,,7.848351001739502
1125,-5.992807388305664,-1.252192735671997,
1170,-5.98562479019165,-1.2593754529953003,7.841168403625488
1204,-5.9832305908203125,-1.2665581703186035,7.8363800048828125
1244,-5.976047515869141,-1.2737408876419067,7.822014331817627
1285,-5.976047515869141,-1.2809237241744995,7.822014331817627
1324,-5.964076519012451,-1.2809237241744995,7.8052544593811035
1369,-5.9544997215271,-1.2809237241744995,7.795677661895752
1404,,,7.783706188201904
1405,-5.9521050453186035,-1.2833179235458374,
1445,-5.9544997215271,-1.2976834774017334,7.781311988830566
1486,,,7.7789177894592285
1487,-5.949710845947266,-1.3000776767730713,
1525,-5.94492244720459,-1.3072603940963745,7.771735191345215
1569,-5.935345649719238,-1.3048661947250366,7.769340991973877
1606,,,7.788495063781738
1607,-5.940134048461914,-1.3120489120483398,
1645,,,7.795677661895752
1646,-5.937739849090576,-1.3120489120483398,
1686,-5.949710845947266,-1.3192317485809326,7.800466060638428
1726,-5.976047515869141,-1.3288086652755737,7.833985805511475
1767,-5.9832305908203125,-1.335991382598877,7.843562602996826
1806,-5.992807388305664,-1.335991382598877,7.841168403625488
1847,-6.016749858856201,-1.3383857011795044,7.86032247543335
1887,-6.016749858856201,-1.333597183227539,7.85074520111084
1927,-6.011961460113525,-1.3216259479522705,7.841168403625488
1969,-6.00717306137085,-1.3192317485809326,7.841168403625488
2007,-5.999990463256836,-1.3288086652755737,7.843562602996826
2047,-5.995201587677002,-1.347962737083435,7.853139877319336
2087,-5.992807388305664,-1.3671166896820068,7.872293472290039
2127,-5.999990463256836,-1.3958476781845093,7.90102481842041
2168,-5.999990463256836,-1.4245786666870117,7.903419017791748
2208,-6.00717306137085,-1.4557039737701416,7.9153900146484375
2252,-6.021538257598877,-1.4796464443206787,7.9129958152771
2288,-6.028721332550049,-1.5035889148712158,7.9153900146484375
2328,-6.023932933807373,-1.527531385421753,7.879476547241211
2370,,,7.867505073547363
2371,-6.031115531921387,-1.5490796566009521,
2408,-6.021538257598877,-1.5730221271514893,7.841168403625488
2449,-5.99759578704834,-1.596964716911316,7.793283462524414
2488,-5.973653316497803,-1.620907187461853,7.762158393859863
2528,-5.949710845947266,-1.6424554586410522,7.73582124710083
2570,-5.930556774139404,-1.6544266939163208,7.721456050872803
2608,,,7.711878776550293
2609,-5.928162574768066,-1.661609411239624,
2654,-5.947316646575928,-1.6711864471435547,7.733427047729492
2689,-5.966470718383789,-1.6735806465148926,7.731032848358154
2729,,,7.7525811195373535
2730,-6.0095672607421875,-1.678369164466858,
2770,-6.045481204986572,-1.6735806465148926,7.762158393859863
2810,-6.071817874908447,-1.6592152118682861,7.781311988830566
2853,-6.114914417266846,-1.6592152118682861,7.8076491355896
2889,-6.1460394859313965,-1.6496381759643555,7.829196929931641
2929,-6.177164554595947,-1.6496381759643555,7.853139877319336
2970,-6.193924427032471,-1.6328784227371216,7.857928276062012
3010,,,7.869899272918701
3011,-6.2035017013549805,-1.620907187461853,
3054,-6.2035017013549805,-1.6041474342346191,7.869899272918701
3090,-6.186741828918457,-1.5873876810073853,7.865110874176025
3130,-6.160405158996582,,7.85074520111084
3131,,-1.5754164457321167,
3171,-6.134068012237549,-1.565839409828186,7.833985805511475
3211,,,7.819620132446289
3214,-6.107731342315674,-1.5562623739242554,
3252,-6.083788871765137,,7.800466060638428
3253,,-1.5514739751815796,
3291,-6.067028999328613,-1.5466854572296143,7.7861008644104
3336,-6.052663803100586,-1.541896939277649,7.764552593231201
3371,-6.050269603729248,,7.757369518280029
3372,,-1.5442911386489868,
3411,,,7.762158393859863
3412,-6.050269603729248,-1.5490796566009521,
3453,-6.04787540435791,-1.5490796566009521,7.762158393859863
3492,-6.055058002471924,-1.5442911386489868,7.766946792602539
3536,-6.069423675537109,,7.783706188201904
3537,,-1.539502739906311,
3573,-6.081394672393799,-1.5347142219543457,7.79807186126709
3612,-6.0885772705078125,-1.5203486680984497,7.800466060638428
3652,,,7.8100433349609375
3653,-6.105337142944336,-1.5059832334518433,
3692,-6.124491214752197,-1.4964061975479126,7.824408531188965
3736,,,7.8076491355896
3737,-6.126885414123535,-1.4796464443206787,
3773,-6.126885414123535,-1.4652808904647827,7.79807186126709
3812,-6.134068012237549,,7.8076491355896
3813,,-1.4485211372375488,
3852,,,7.8100433349609375
3853,-6.131673812866211,-1.4389442205429077,
3893,-6.126885414123535,-1.4269729852676392,7.8100433349609375
3937,-6.136462688446045,-1.4269729852676392,7.831591606140137
3974,-6.150827884674072,-1.4341557025909424,7.848351001739502
4014,-6.165193557739258,-1.446126937866211,7.8627166748046875
4053,-6.167587757110596,-1.4485211372375488,7.869899272918701
4093,,,7.884264945983887
4094,-6.177164554595947,-1.4533096551895142,
4135,-6.174770355224609,-1.4509154558181763,7.877082347869873
