relative_time,AccX,AccY,AccZ
0,0.3950512409210205,-10.189927101135254,-0.31364673376083374
41,0.3950512409210205,-10.187533378601074,-0.3160409927368164
80,0.3950512409210205,-10.187533378601074,-0.3184352219104767
120,0.3974454700946808,-10.187533378601074,
121,,,-0.3184352219104767
160,0.3974454700946808,-10.185138702392578,-0.3184352219104767
200,,-10.182744979858398,
201,0.3950512409210205,,-0.3184352219104767
241,0.3902627229690552,-10.180350303649902,-0.3160409927368164
280,0.3878684937953949,-10.180350303649902,-0.3184352219104767
324,0.38547423481941223,-10.180350303649902,-0.3184352219104767
361,0.38307997584342957,-10.180350303649902,-0.32082948088645935
401,0.3806857466697693,-10.180350303649902,-0.32082948088645935
441,0.3806857466697693,-10.180350303649902,
442,,,-0.32082948088645935
481,0.3782914876937866,-10.177956581115723,-0.3184352219104767
526,0.37589722871780396,-10.177956581115723,-0.3184352219104767
561,0.3735029697418213,-10.177956581115723,-0.3160409927368164
601,,-10.180350303649902,
602,0.36871448159217834,,-0.31364673376083374
642,0.3663202226161957,-10.180350303649902,-0.31364673376083374
681,0.3663202226161957,-10.182744979858398,-0.3112524747848511
724,0.3639259934425354,-10.182744979858398,-0.3088582456111908
762,0.3639259934425354,-10.182744979858398,
764,,,-0.30646398663520813
802,0.3639259934425354,-10.182744979858398,-0.30406972765922546
843,0.3639259934425354,-10.185138702392578,-0.3016754984855652
883,0.3663202226161957,-10.185138702392578,-0.2992812395095825
922,,-10.187533378601074,
923,0.3663202226161957,,-0.29688698053359985
962,,-10.185138702392578,
963,0.36871448159217834,,-0.2944927513599396
1003,0.371108740568161,-10.185138702392578,-0.2944927513599396
1043,0.37589722871780396,-10.182744979858398,-0.2944927513599396
1083,0.3782914876937866,-10.182744979858398,
1084,,,-0.2920984923839569
1125,0.3806857466697693,-10.185138702392578,-0.2920984923839569
1163,0.3806857466697693,-10.185138702392578,-0.28970423340797424
1205,0.38307997584342957,-10.182744979858398,-0.28970423340797424
1243,0.38547423481941223,-10.182744979858398,
1244,,,-0.2920984923839569
1284,0.3878684937953949,-10.185138702392578,
1285,,,-0.2944927513599396
1325,0.3902627229690552,-10.182744979858398,-0.28970423340797424
1364,0.39265698194503784,-10.185138702392578,-0.28970423340797424
1408,0.39265698194503784,-10.182744979858398,-0.2873099744319916
1445,0.39265698194503784,-10.182744979858398,-0.2849157452583313
1484,0.3902627229690552,-10.180350303649902,
1485,,,-0.2849157452583313
1525,0.3878684937953949,-10.180350303649902,-0.2849157452583313
1564,,-10.177956581115723,
1565,0.38547423481941223,,-0.2849157452583313
1608,0.38307997584342957,-10.177956581115723,-0.2849157452583313
1645,0.38307997584342957,-10.177956581115723,-0.28252148628234863
1686,0.38307997584342957,-10.177956581115723,-0.28252148628234863
1725,0.38307997584342957,-10.177956581115723,
1726,,,-0.28012722730636597
1765,0.38307997584342957,-10.177956581115723,-0.28012722730636597
1808,0.38307997584342957,-10.177956581115723,-0.28012722730636597
1845,,-10.180350303649902,
1846,0.38307997584342957,,-0.2777329981327057
1890,0.3806857466697693,-10.182744979858398,
1891,,,-0.275338739156723
1926,0.3782914876937866,-10.185138702392578,-0.27294448018074036
1967,0.37589722871780396,-10.185138702392578,-0.2705502510070801
2008,0.3735029697418213,-10.187533378601074,-0.26576173305511475
2046,0.3735029697418213,-10.185138702392578,-0.26576173305511475
2091,0.371108740568161,-10.185138702392578,-0.26576173305511475
2126,0.36871448159217834,-10.185138702392578,
2127,,,-0.2681559920310974
2167,0.371108740568161,-10.182744979858398,-0.2681559920310974
2208,0.36871448159217834,-10.182744979858398,-0.2681559920310974
2247,0.371108740568161,-10.182744979858398,-0.2705502510070801
2291,,-10.182744979858398,
2292,0.36871448159217834,,-0.27294448018074036
2327,,-10.182744979858398,
2328,0.371108740568161,,-0.275338739156723
2367,0.371108740568161,-10.185138702392578,-0.2777329981327057
2407,0.3735029697418213,-10.187533378601074,-0.2777329981327057
2447,,-10.187533378601074,
2448,0.3735029697418213,,-0.28012722730636597
2492,0.37589722871780396,-10.187533378601074,-0.2777329981327057
2528,0.37589722871780396,-10.185138702392578,
2529,,,-0.2777329981327057
2569,0.3806857466697693,-10.185138702392578,-0.2777329981327057
2608,,-10.187533378601074,
2609,0.38307997584342957,,-0.2777329981327057
2648,0.38547423481941223,-10.187533378601074,-0.2777329981327057
2692,0.3878684937953949,-10.187533378601074,-0.275338739156723
2728,,-10.185138702392578,
2730,0.3878684937953949,,-0.275338739156723
2768,0.3878684937953949,-10.185138702392578,
2769,,,-0.27294448018074036
2809,0.38547423481941223,-10.182744979858398,-0.27294448018074036
2849,0.3878684937953949,-10.185138702392578,-0.27294448018074036
2891,0.3878684937953949,-10.182744979858398,-0.2705502510070801
2929,0.3902627229690552,-10.182744979858398,-0.2705502510070801
2969,0.3902627229690552,-10.180350303649902,
2970,,,-0.2705502510070801
3009,0.3902627229690552,-10.180350303649902,
3010,,,-0.2705502510070801
3049,0.3902627229690552,-10.177956581115723,-0.2681559920310974
3091,0.3902627229690552,-10.175561904907227,
3092,,,-0.26576173305511475
3129,0.39265698194503784,-10.175561904907227,
3130,,,-0.2633674740791321
3169,0.39265698194503784,-10.175561904907227,-0.2609732449054718
3209,,-10.175561904907227,
3210,0.3950512409210205,,-0.25618472695350647
3250,0.39265698194503784,-10.175561904907227,-0.25618472695350647
3292,0.3950512409210205,-10.175561904907227,-0.25618472695350647
3330,,-10.175561904907227,
3331,0.3974454700946808,,-0.25618472695350647
3374,,-10.177956581115723,
